ORIG_INDEX,Unnamed: 0,Name,CAS,Year,Status,Is_a_Metabolite,Has_a_Metabolite,Route,VD(liter),Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),SMILES,ChEMBL_ID,pKa_acidic_cx,pKa_basic_cx,IonType,Tmax,Cmax_uM,log_t1/2(hour),log_VD(liter),log_Cl(liter/hour),log_Cmax_uM,logit_F(percentage),logit_PPB(percentage),log_Tmax,NAME_NORM,LogP,MW,BCS_Candidate
492,492,ATOVAQUONE,95233-18-4,1992,,,,ORAL ,39.0,0.6,62.5,99.9,47.0,41.2,MICROMOLAR,,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,CHEMBL1450,5.73,,Anionic,,41.2,1.7958800242927868,1.591064618162255,-0.221848025792823,1.6148972265742627,-0.0521780116650715,2.999565488226007,,ATOVAQUONE,5.505100000000004,366.84400000000016,Class II (Low Sol/High Perm)
493,493,FLUVASTATIN,93957-54-1,1993,,,,ORAL ,22.7,5.2,3.0,98.0,24.0,,,1,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,CHEMBL2220442,4.54,,Anionic,1.0,,0.4771213994844656,1.356025876325038,0.7160034271529607,,-0.5006023505691853,1.6901960800285136,4.3429426472042774e-07,FLUVASTATIN,4.628100000000003,411.473,Class I/III (High Solubility)
494,494,RISPERIDONE,106266-06-2,1993,,, 949  1205 ,ORAL INTRAMUSCULAR SUBCUTANEOUS,97.5,21.0,3.0,90.0,70.0,,,1,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CHEMBL85,,8.76,Cationic,1.0,,0.4771213994844656,1.989004620152839,1.3222193154146085,,0.3679767852945944,0.9542425094393248,4.3429426472042774e-07,RISPERIDONE,3.5904200000000026,410.4930000000003,Class I/III (High Solubility)
495,495,TRAMADOL,181289-59-8,1995,,, 1674  1676  1678  1680 ,ORAL ,188.0,23.0,6.7,20.0,75.0,2.25,MICROMOLAR,2.3,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1,CHEMBL1237044,13.8,9.23,Cationic,2.3,2.25,0.8260748675208935,2.274157851573757,1.3617278548999612,0.3521827111310893,0.4771212547196624,-0.6020599913279624,0.3617280248412396,TRAMADOL,2.6346000000000007,263.3809999999999,Class I/III (High Solubility)
496,496,CARVEDILOL,72956-09-3,1995,,,,ORAL ,115.0,36.0,8.5,98.0,30.0,,,,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O,CHEMBL723,,8.74,Cationic,,,0.9294189768077582,2.0606978441300856,1.5563025128310226,,-0.3679767852945944,1.6901960800285136,,CARVEDILOL,2.809400000000001,504.47600000000006,Class I/III (High Solubility)
497,497,MOEXIPRIL,103775-10-6,1995,,, 1673 ,ORAL ,,26.4,,,13.0,,,,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O.Cl,CHEMBL1165,3.46,5.2,Anionic,,,,,1.421603943320379,,-0.8255759003117817,,,MOEXIPRIL,3.0061000000000013,535.0370000000005,Class I/III (High Solubility)
498,498,ANAGRELIDE,68475-42-3,1997,,,,ORAL ,,,1.5,,70.0,,,1,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,CHEMBL760,11.25,3.62,Neutral,1.0,,0.1760915485852393,,,,0.3679767852945944,,4.3429426472042774e-07,ANAGRELIDE,2.3481000000000005,292.553,Class I/III (High Solubility)
499,499,MIRTAZAPINE,61337-67-5,1996,,,,ORAL ,273.0,31.2,30.0,85.0,50.0,,,2,CN1CCN2c3ncccc3Cc3ccccc3C2C1,CHEMBL654,,6.67,Neutral,2.0,,1.4771212691961448,2.436162648631578,1.4941546079381376,,0.0,0.7533276666586115,0.3010302128111679,MIRTAZAPINE,2.4789000000000003,265.36,Class I/III (High Solubility)
500,500,NISOLDIPINE,63675-72-9,1995,,,,ORAL ,357.0,58.5,9.5,99.0,5.0,,,9,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],CHEMBL1726,,,Neutral,9.0,,0.977723651004054,2.5526682173287045,1.7671558735060178,,-1.278753600952829,1.99563519459755,0.9542425576942646,NISOLDIPINE,3.201800000000002,388.4200000000001,Class I/III (High Solubility)
501,501,METFORMIN,657-24-9,1995,,,,ORAL ,654.0,28.8,17.6,0.0,55.0,13.9,MICROMOLAR,7,CN(C)C(=N)NC(=N)N,CHEMBL1431,,12.33,Cationic,7.0,13.9,1.245512692489972,2.8155777489883262,1.4593925028389,1.1430148314983013,0.0871501757189002,-2.9995654882259823,0.8450981020563213,METFORMIN,-1.034159999999999,129.167,Class I/III (High Solubility)
502,502,FAMCICLOVIR,104227-87-4,1994,,, 766 ,ORAL ,,,,,77.0,,,,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,CHEMBL880,,3.65,Neutral,,,,,,,0.524762889154889,,,FAMCICLOVIR,0.5409999999999998,321.33700000000016,Class I/III (High Solubility)
503,503,LOSARTAN,114798-26-4,1995,,, 1671 ,ORAL ,34.0,36.0,2.0,98.7,33.0,,,1,CCCCc1nc(Cl)c(CO[N+](=O)[O-])n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CHEMBL191,4.26,3.82,Anionic,1.0,,0.3010302128111679,1.531478929815622,1.5563025128310226,,-0.307560862822939,1.880373800362801,4.3429426472042774e-07,LOSARTAN,4.482800000000004,467.91700000000014,Class I/III (High Solubility)
504,504,TIZANIDINE,51322-75-9,1996,,,,ORAL ,156.0,42.9,2.5,30.0,40.0,,,,Clc1ccc2nsnc2c1NC1=NCCN1,CHEMBL1079,,7.49,Cationic,,,0.3979401823897956,2.1931246011384005,1.6324573023081386,,-0.1760912590556812,-0.3679767852945944,,TIZANIDINE,1.715799999999999,253.718,Class I/III (High Solubility)
505,505,LANSOPRAZOLE,103577-45-3,1995,,,,ORAL INTRAVENOUS ,15.7,11.1,1.3,97.0,80.0,4.6,MICROMOLAR,1.7,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,CHEMBL480,9.35,4.16,Neutral,1.7,4.6,0.1139436863793866,1.1958996800713018,1.0453230179122843,0.6627579260934077,0.6020599913279624,1.5096504795465824,0.230449176845541,LANSOPRAZOLE,3.515220000000001,369.3680000000001,Class I/III (High Solubility)
506,506,STAVUDINE,3056-17-5,1994,,,,ORAL ,46.0,35.6,1.6,0.0,86.0,2.4,MICROMOLAR,1,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,CHEMBL991,9.95,,Neutral,1.0,2.4,0.2041202540898911,1.6627578411227584,1.5514500101721582,0.3802114226676024,0.7883704155653297,-2.9995654882259823,4.3429426472042774e-07,STAVUDINE,-0.7090799999999999,224.216,Class I/III (High Solubility)
507,507,ZILEUTON,111406-87-2,1996,,,,ORAL ,78.0,27.3,2.5,93.0,,21.1,MICROMOLAR,1.7,CC(c1cc2ccccc2s1)N(O)C(N)=O,CHEMBL93,8.84,,Neutral,1.7,21.1,0.3979401823897956,1.8920946082583583,1.4361626629489783,1.324282475880369,,1.1233849085396783,0.230449176845541,ZILEUTON,2.7322,236.296,Class I/III (High Solubility)
508,508,ACARBOSE,56180-94-0,1995,,,,ORAL ,20.8,8.5,2.0,,2.0,,,1,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,11.23,7.03,Neutral,1.0,,0.3010302128111679,1.3180633558423034,0.9294189768077582,,-1.6901960800285136,,4.3429426472042774e-07,ACARBOSE,-8.564500000000011,645.6080000000004,Class I/III (High Solubility)
509,509,VALACYCLOVIR,124832-26-4,1995,,, 525 ,ORAL ,,,,15.7,54.0,17.4,MICROMOLAR,,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,CHEMBL1349,11.99,7.48,Cationic,,17.4,,,,1.240549273242052,0.0696359281413944,-0.7299279222155086,,VALACYCLOVIR,-0.7975999999999985,324.341,Class I/III (High Solubility)
